region_id,state,district
0,Andaman And Nicobar Islands,Nicobars
1,Andaman And Nicobar Islands,North And Middle Andaman
2,Andaman And Nicobar Islands,South Andamans
3,Andhra Pradesh,Anantapur
4,Andhra Pradesh,East Godavari
5,Andhra Pradesh,Krishna
6,Andhra Pradesh,Vizianagaram
7,Andhra Pradesh,West Godavari
8,Andhra Pradesh,Adilabad
9,Andhra Pradesh,Chittoor
10,Andhra Pradesh,Guntur
11,Andhra Pradesh,Kadapa
12,Andhra Pradesh,Karimnagar
13,Andhra Pradesh,Khammam
14,Andhra Pradesh,Kurnool
15,Andhra Pradesh,Mahbubnagar
16,Andhra Pradesh,Medak
17,Andhra Pradesh,Nalgonda
18,Andhra Pradesh,Nizamabad
19,Andhra Pradesh,Prakasam
20,Andhra Pradesh,Rangareddi
21,Andhra Pradesh,Spsr Nellore
22,Andhra Pradesh,Srikakulam
23,Andhra Pradesh,Visakhapatanam
24,Andhra Pradesh,Warangal
25,Arunachal Pradesh,Changlang
26,Arunachal Pradesh,Dibang Valley
27,Arunachal Pradesh,East Kameng
28,Arunachal Pradesh,East Siang
29,Arunachal Pradesh,Kurung Kumey
30,Arunachal Pradesh,Lohit
31,Arunachal Pradesh,Lower Dibang Valley
32,Arunachal Pradesh,Lower Subansiri
33,Arunachal Pradesh,Papum Pare
34,Arunachal Pradesh,Tawang
35,Arunachal Pradesh,Tirap
36,Arunachal Pradesh,Upper Siang
37,Arunachal Pradesh,Upper Subansiri
38,Arunachal Pradesh,West Kameng
39,Arunachal Pradesh,West Siang
40,Assam,Barpeta
41,Assam,Bongaigaon
42,Assam,Cachar
43,Assam,Darrang
44,Assam,Dhemaji
45,Assam,Dhubri
46,Assam,Dibrugarh
47,Assam,Dima Hasao
48,Assam,Goalpara
49,Assam,Golaghat
50,Assam,Hailakandi
51,Assam,Jorhat
52,Assam,Kamrup
53,Assam,Karbi Anglong
54,Assam,Karimganj
55,Assam,Kokrajhar
56,Assam,Lakhimpur
57,Assam,Marigaon
58,Assam,Nagaon
59,Assam,Nalbari
60,Assam,Sivasagar
61,Assam,Sonitpur
62,Assam,Tinsukia
63,Bihar,Araria
64,Bihar,Arwal
65,Bihar,Aurangabad
66,Bihar,Banka
67,Bihar,Begusarai
68,Bihar,Bhagalpur
69,Bihar,Bhojpur
70,Bihar,Buxar
71,Bihar,Darbhanga
72,Bihar,Gaya
73,Bihar,Gopalganj
74,Bihar,Jamui
75,Bihar,Jehanabad
76,Bihar,Kaimur (Bhabua)
77,Bihar,Katihar
78,Bihar,Khagaria
79,Bihar,Kishanganj
80,Bihar,Lakhisarai
81,Bihar,Madhepura
82,Bihar,Madhubani
83,Bihar,Munger
84,Bihar,Muzaffarpur
85,Bihar,Nalanda
86,Bihar,Nawada
87,Bihar,Pashchim Champaran
88,Bihar,Patna
89,Bihar,Purbi Champaran
90,Bihar,Purnia
91,Bihar,Rohtas
92,Bihar,Saharsa
93,Bihar,Samastipur
94,Bihar,Saran
95,Bihar,Sheikhpura
96,Bihar,Sheohar
97,Bihar,Sitamarhi
98,Bihar,Siwan
99,Bihar,Supaul
100,Bihar,Vaishali
101,Chandigarh,Chandigarh
102,Chhattisgarh,Bastar
103,Chhattisgarh,Bilaspur
104,Chhattisgarh,Dantewada
105,Chhattisgarh,Dhamtari
106,Chhattisgarh,Durg
107,Chhattisgarh,Janjgir-Champa
108,Chhattisgarh,Jashpur
109,Chhattisgarh,Kabirdham
110,Chhattisgarh,Kanker
