time_id,year_start,year_end,year_label
0,2001,2002,2001-02
1,2002,2003,2002-03
2,2003,2004,2003-04
3,2004,2005,2004-05
4,2006,2007,2006-07
5,2005,2006,2005-06
6,2007,2008,2007-08
7,2008,2009,2008-09
8,2009,2010,2009-10
9,2010,2011,2010-11
10,2011,2012,2011-12
11,2012,2013,2012-13
12,2013,2014,2013-14
13,2014,2015,2014-15
14,2015,2016,2015-16
15,2016,2017,2016-17
16,2017,2018,2017-18
17,2018,2019,2018-19
18,2019,2020,2019-20
19,2020,2021,2020-21
20,2000,2001,2000-01
21,1997,1998,1997-98
22,1998,1999,1998-99
23,1999,2000,1999-00
